#id	AI名称	稀有度	等级	类型	职类	战斗AI									
10	传教AI LV1	1	1	0	60	203,48,6709	97,46,6800	98,47,6800	96,7,6300	106,7,6100	202,48,6709	201,48,6702	0,2,-100		
11	传教AI LV2	1	2	0	60	203,48,6709	97,46,6801	98,47,6801	96,7,6301	106,7,6101	202,48,6709	201,48,6702	0,2,-100		
12	传教AI LV3	1	3	0	60	203,48,6709	97,46,6802	98,47,6802	96,7,6302	106,7,6102	202,48,6709	201,48,6702	0,2,-100		
13	传教AI LV4	1	4	0	60	203,48,6709	97,46,6803	98,47,6803	96,7,6303	106,7,6103	202,48,6709	201,48,6702	0,2,-100		
14	传教AI LV5	1	5	0	60	203,48,6709	97,46,6804	98,47,6804	96,7,6304	106,7,6104	202,48,6709	201,48,6702	0,2,-100		
15	传教AI LV6	1	6	0	60	203,48,6709	97,46,6805	98,47,6805	96,7,6305	106,7,6105	202,48,6709	201,48,6702	0,2,-100		
16	传教AI LV7	1	7	0	60	203,48,6709	97,46,6806	98,47,6806	96,7,6306	106,7,6106	202,48,6709	201,48,6702	0,2,-100		
17	传教AI LV8	1	8	0	60	89,5,6607	61,5,6607	203,48,6709	97,46,6807	98,47,6807	96,7,6307	106,7,6107	202,48,6709	201,48,6702	0,2,-100
18	传教AI LV9	1	9	0	60	89,5,6608	61,5,6608	203,48,6709	97,46,6808	98,47,6808	96,7,6308	106,7,6108	202,48,6709	201,48,6702	0,2,-100
19	传教AI LV10	1	10	0	60	89,5,6609	61,5,6609	203,48,6709	97,46,6809	98,47,6809	96,7,6309	106,7,6109	202,48,6709	201,48,6702	0,2,-100
20	战斧AI LV1	1	1	0	20	8,0,1209	0,2,25700							
21	战斧AI LV2	1	2	0	20	8,0,1209	0,2,25701								
22	战斧AI LV3	1	3	0	20	8,0,1209	0,2,25702								
23	战斧AI LV4	1	4	0	20	8,0,1209	0,2,25703								
24	战斧AI LV5	1	5	0	20	8,0,1209	0,2,25704								
25	战斧AI LV6	1	6	0	20	8,0,1209	0,2,25705								
26	战斧AI LV7	1	7	0	20	8,0,1209	0,2,25706								
27	战斧AI LV8	1	8	0	20	8,0,1209	0,2,25707								
28	战斧AI LV9	1	9	0	20	8,0,1209	0,2,25708								
29	战斧AI LV10	1	10	0	20	8,0,1209	0,2,25709								
30	剑士AI LV1	1	1	0	10	8,0,1209	0,2,300								
31	剑士AI LV2	1	2	0	10	8,0,1209	102,2,301	0,2,200501							
32	剑士AI LV3	1	3	0	10	8,0,1209	102,2,302	0,2,200502							
33	剑士AI LV4	1	4	0	10	8,0,1209	102,2,303	0,2,200503							
34	剑士AI LV5	1	5	0	10	8,0,1209	102,2,304	0,2,200504							
35	剑士AI LV6	1	6	0	10	8,0,1209	102,2,305	0,2,200505							
36	剑士AI LV7	1	7	0	10	8,0,1209	102,2,306	0,2,200506							
37	剑士AI LV8	1	8	0	10	8,0,1209	102,2,307	0,2,200507							
38	剑士AI LV9	1	9	0	10	8,0,1209	102,2,308	0,2,200508							
39	剑士AI LV10	1	10	0	10	8,0,1209	102,2,309	0,2,200509							
40	骑士AI LV1	1	1	0	30	8,0,1209	107,7,26100	105,7,700	0,2,100						
41	骑士AI LV2	1	2	0	30	8,0,1209	107,7,26101	105,7,701	0,2,101						
42	骑士AI LV3	1	3	0	30	8,0,1209	107,7,26102	105,7,702	0,2,102						
43	骑士AI LV4	1	4	0	30	8,0,1209	107,7,26103	105,7,703	0,2,103						
44	骑士AI LV5	1	5	0	30	8,0,1209	107,7,26104	105,7,704	0,2,104						
45	骑士AI LV6	1	6	0	30	8,0,1209	107,7,26105	105,7,705	0,2,105						
46	骑士AI LV7	1	7	0	30	8,0,1209	107,7,26106	105,7,706	0,2,106						
47	骑士AI LV8	1	8	0	30	8,0,1209	107,7,26107	105,7,707	0,2,107						
48	骑士AI LV9	1	9	0	30	8,0,1209	107,7,26108	105,7,708	0,2,108						
49	骑士AI LV10	1	10	0	30	8,0,1209	107,7,26109	105,7,709	0,2,109						
50	弓手AI LV1	1	1	0	40	8,0,1209	102,2,300	0,2,9500							
51	弓手AI LV2	1	2	0	40	8,0,1209	102,2,301	0,2,9501							
52	弓手AI LV3	1	3	0	40	8,0,1209	102,2,302	0,2,9502							
53	弓手AI LV4	1	4	0	40	8,0,1209	102,2,303	0,2,9503							
54	弓手AI LV5	1	5	0	40	8,0,1209	102,2,304	0,2,9504							
55	弓手AI LV6	1	6	0	40	8,0,1209	102,2,305	0,2,9505							
56	弓手AI LV7	1	7	0	40	8,0,1209	102,2,306	0,2,9506							
57	弓手AI LV8	1	8	0	40	8,0,1209	102,2,307	0,2,9507							
58	弓手AI LV9	1	9	0	40	8,0,1209	102,2,308	0,2,9508							
59	弓手AI LV10	1	10	0	40	8,0,1209	102,2,309	0,2,9509							
60	地属性魔法LV1	1	1	0	70	8,4,3100	102,2,1900	0,2,2700							
61	地属性魔法LV2	1	2	0	70	8,4,3101	102,2,1901	0,2,2701							
62	地属性魔法LV3	1	3	0	70	8,4,3102	102,2,1902	0,2,2702							
63	地属性魔法LV4	1	4	0	70	8,4,3103	102,2,1903	0,2,2703							
64	地属性魔法LV5	1	5	0	70	8,4,3104	102,2,1904	0,2,2704							
65	地属性魔法LV6	1	6	0	70	8,4,3105	102,2,1905	0,2,2705							
66	地属性魔法LV7	1	7	0	70	8,4,3106	102,2,1906	0,2,2706							
67	地属性魔法LV8	1	8	0	70	8,4,3107	102,2,1907	0,2,2707							
68	地属性魔法LV9	1	9	0	70	8,4,3108	102,2,1908	0,2,2708							
69	地属性魔法LV10	1	10	0	70	8,4,3109	102,2,1909	0,2,2709							
70	水属性魔法LV1	1	1	0	70	8,4,3100	102,2,2000	0,2,2800							
71	水属性魔法LV2	1	2	0	70	8,4,3101	102,2,2001	0,2,2801							
72	水属性魔法LV3	1	3	0	70	8,4,3102	102,2,2002	0,2,2802							
73	水属性魔法LV4	1	4	0	70	8,4,3103	102,2,2003	0,2,2803							
74	水属性魔法LV5	1	5	0	70	8,4,3104	102,2,2004	0,2,2804							
75	水属性魔法LV6	1	6	0	70	8,4,3105	102,2,2005	0,2,2805							
76	水属性魔法LV7	1	7	0	70	8,4,3106	102,2,2006	0,2,2806							
77	水属性魔法LV8	1	8	0	70	8,4,3107	102,2,2007	0,2,2807							
78	水属性魔法LV9	1	9	0	70	8,4,3108	102,2,2008	0,2,2808							
79	水属性魔法LV10	1	10	0	70	8,4,3109	102,2,2009	0,2,2809							
80	火属性魔法LV1	1	1	0	70	8,4,3100	102,2,2100	0,2,2900							
81	火属性魔法LV2	1	2	0	70	8,4,3101	102,2,2101	0,2,2901							
82	火属性魔法LV3	1	3	0	70	8,4,3102	102,2,2102	0,2,2902							
83	火属性魔法LV4	1	4	0	70	8,4,3103	102,2,2103	0,2,2903							
84	火属性魔法LV5	1	5	0	70	8,4,3104	102,2,2104	0,2,2904							
85	火属性魔法LV6	1	6	0	70	8,4,3105	102,2,2105	0,2,2905							
86	火属性魔法LV7	1	7	0	70	8,4,3106	102,2,2106	0,2,2906							
87	火属性魔法LV8	1	8	0	70	8,4,3107	102,2,2107	0,2,2907							
88	火属性魔法LV9	1	9	0	70	8,4,3108	102,2,2108	0,2,2908							
89	火属性魔法LV10	1	10	0	70	8,4,3109	102,2,2109	0,2,2909							
90	风属性魔法LV1	1	1	0	70	8,4,3100	102,2,2200	0,2,3000							
91	风属性魔法LV2	1	2	0	70	8,4,3101	102,2,2201	0,2,3001							
92	风属性魔法LV3	1	3	0	70	8,4,3102	102,2,2202	0,2,3002							
93	风属性魔法LV4	1	4	0	70	8,4,3103	102,2,2203	0,2,3003							
94	风属性魔法LV5	1	5	0	70	8,4,3104	102,2,2204	0,2,3004							
95	风属性魔法LV6	1	6	0	70	8,4,3105	102,2,2205	0,2,3005							
96	风属性魔法LV7	1	7	0	70	8,4,3106	102,2,2206	0,2,3006							
97	风属性魔法LV8	1	8	0	70	8,4,3107	102,2,2207	0,2,3007							
98	风属性魔法LV9	1	9	0	70	8,4,3108	102,2,2208	0,2,3008							
99	风属性魔法LV10	1	10	0	70	8,4,3109	102,2,2209	0,2,3009							
100	格斗AI LV1	1	1	0	140	8,0,1209	104,2,400	0,2,400							
101	格斗AI LV2	1	2	0	140	8,0,1209	104,2,401	0,2,401							
102	格斗AI LV3	1	3	0	140	8,0,1209	104,2,402	0,2,402							
103	格斗AI LV4	1	4	0	140	8,0,1209	104,2,402	0,2,403							
104	格斗AI LV5	1	5	0	140	8,0,1209	104,2,402	0,2,404							
